kategorie,en,stufe,quelle,url,stand,kontext,notiz
grundstein,Exploration Expedition,S,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5","5/5: öffnet Lichtungen kostenlos, bringt Ressourcen"
grundstein,Protected Trade,S,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5",5/5: verhindert hohe Feindseligkeit
grundstein,Silent Looting,A,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5","4/5: -30 Feindseligkeit je Jahr, Risiko Ressourcenverlust"
grundstein,Baptism of Fire,A,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5",4/5: langfristig bis -100 Feindseligkeit
grundstein,Rooty Ground,A,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5","4/5: +1 Holz je Ernte, Nachteil auf hohem Prestige tragbar"
grundstein,Lost Supplies,A,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5",4/5: 40 Fleisch und 40 Getreide je Ereignis
grundstein,Smugglers Visit,A,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5","4/5: seltene Waren, stärkt Handel"
grundstein,Calming the Forest,B,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5",3/5: -30 Feindseligkeit je Jahr ohne Nachteil
grundstein,Mist Piercers,B,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5","3/5: wie Ancient Pact, auf hohem Prestige teurer"
grundstein,Prosperous Settlement,B,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5","3/5: +10 Zufriedenheit, auf hohem Prestige schwächer"
grundstein,Woodcutters Prayer,B,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5",3/5: Holzfäller effizienter
grundstein,Grain Delivery Line,B,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5",3/5: halbe Plantage Getreide umsonst
grundstein,Fiber Delivery Line,B,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5","3/5: wie Grain Delivery Line, weniger Wirkung"
grundstein,Clay Delivery Line,B,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5",3/5: stetig Lehm
grundstein,Bed and Breakfast,B,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5",3/5: auf hohem Prestige wertvoller (Bernstein knapp)
grundstein,Ancient Pact,B,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5",3/5: Wissen spart Zeit und Ressourcen
grundstein,Back to Nature,C,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5","2/5: wie Grain Delivery Line, weniger Wirkung"
grundstein,Crowded Houses,C,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5","2/5: spart Baumaterial, kein großer Vorteil"
grundstein,Cheap Construction,C,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5","2/5: nützlich nach Lichtungen, vor Dienstgebäuden"
grundstein,Firekeepers Prayer,C,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5",2/5: auf hohem Prestige wertvoller
grundstein,Frequent Caravans,C,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5","2/5: Ruf über Zufriedenheit, Karawanen nicht immer genutzt"
grundstein,Friendly Relations,C,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5",2/5: etwas besser als Frequent Caravans
grundstein,Burnt to a Crisp,C,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5","2/5: doppelte Farmproduktion, viel Mikromanagement"
grundstein,Chicken or Egg,C,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5","2/5: stark in Kombination, Bevölkerung im Blick"
grundstein,Copper Extractor,C,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5",2/5: nur wenn Kupfer für Werkzeug gebraucht
grundstein,Family Gratitude,C,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5",2/5: für Wein-/Bier-Strategie
grundstein,Flame Amulets,C,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5","2/5: flexibel, Ruf über Zufriedenheit leichter"
grundstein,Improvised Tools,C,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5",2/5: Bernstein gegen Biber-Zufriedenheit
grundstein,Leather Gloves,C,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5",2/5: nur wenn Leder gebraucht
grundstein,Lost in the Wilds,C,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5",2/5: ähnlich Baptism of Fire
grundstein,Prayer Book,C,ClashiVerse,https://clashiverse.com/against-the-storm-cornerstone-tier-list/,2024-01,"Prestige 9, Skala 1–5",2/5: eher früh im Spiel
